FROM,TO,TIMING
 KATRAJ,NIGDI, 5.30AM 5.40AM 5.50AM 6.00AM 6.10AM 6.20AM 6.30AM 6.40AM 6.50AM 7.00AM 7.10AM 7.20AM 7.25AM 7.30AM 7.40AM 7.45AM 7.55AM 8.05AM 8.15AM 8.25AM 8.35AM 8.45AM 8.55AM 9.05AM 9.15AM 9.25AM 9.30AM 9.40AM 9.50AM 10.00AM 10.10AM 10.20AM 10.30AM 10.40AM 10.50AM 11.00AM 11.10AM 11.15AM 11.20AM 11.25AM 11.30AM 11.35AM 11.45AM 11.55AM 12.05PM 12.15PM 12.25PM 12.35PM 12.45PM 12.55PM 1.05PM 1.15PM 1.25PM 1.30PM 1.40PM 1.50PM 2.00PM 2.10PM 2.20PM 2.30PM 2.40PM 2.50PM 3.00PM 3.10PM 3.15PM 3.15PM 3.20PM 3.25PM 3.30PM 3.35PM 3.40PM 3.45PM 4.05PM 4.15PM 4.25PM 4.30PM 4.45PM 4.55PM 5.05PM 5.15PM 5.25PM 5.30PM 5.40PM 5.50PM 6.00PM 6.10PM 6.20PM 6.30PM 6.40PM 6.50PM 7.00PM 7.10PM 7.15PM 7.20PM 7.25PM 7.30PM 7.35PM 7.45PM 7.55PM 8.05PM 8.15PM 8.25PM 8.40PM 8.55PM 9.10PM 9.25PM 9.45PM 10.00PM
 NIGDI,KATRAJ, 5.40AM 6.00AM 6.10AM 6.20AM 6.30AM 6.40AM 6.50AM 7.00AM 7.10AM 7.15AM 7.20AM 7.25AM 7.30AM 7.35AM 7.40AM 7.45AM 7.55AM 8.05AM 8.15AM 8.25AM 8.35AM 8.45AM 8.55AM 9.05AM 9.15AM 9.25AM 9.30AM 9.40AM 9.50AM 10.00AM 10.10AM 10.20AM 10.30AM 10.40AM 10.50AM 11.00AM 11.10AM 11.15AM 11.20AM 11.25AM 11.30AM 11.35AM 11.40AM 11.45AM 11.55AM 12.05PM 12.15PM 12.25PM 12.35PM 12.45PM 12.55PM 1.05PM 1.15PM 1.30PM 1.40PM 1.50PM 2.00PM 2.10PM 2.20PM 2.30PM 2.40PM 2.50PM 3.00PM 3.10PM 3.15PM 3.20PM 3.25PM 3.30PM 3.35PM 3.40PM 3.45PM 3.55PM 4.05PM 4.15PM 4.25PM 4.30PM 4.45PM 4.55PM 5.05PM 5.15PM 5.25PM 5.30PM 5.40PM 5.50PM 6.00PM 6.10PM 6.20PM 6.30PM 6.40PM 6.50PM 7.00PM 7.10PM 7.15PM 7.20PM 7.25PM 7.30PM 7.35PM 7.40PM 7.45PM 7.55PM 8.05PM 8.15PM 8.25PM 8.40PM 8.55PM 9.10PM 9.25PM 9.45PM
 KATRAJ,HINJEWADI PHASE 3,6.00AM 6.20AM 6.35AM 6.55AM 7.15AM 7.30AM 7.50AM 8.05AM 8.25AM 8.35AM 8.45AM 9.00AM 9.15AM 9.35AM 9.50AM 10.05AM 10.20AM 10.50AM 11.15AM 11.35AM 12.05PM 12.25PM 12.50PM 1.20PM 2.10PM 3.20PM 3.35PM 3.50PM 4.05PM 4.15PM 4.30PM 4.50PM 5.05PM 5.20PM 5.50PM 6.00AM 6.15PM 6.25PM 6.40PM 6.55PM 7.10PM 7.30PM 7.50PM 8.20PM 8.45PM 9.20PM
 HINJEWADI PHASE 3,KATRAJ, 6.00AM 6.20AM 6.35AM 6.55AM 7.15AM 7.30AM 7.50AM 8.05AM 8.25AM 8.45AM 9.00AM 9.15AM 9.30AM 9.45AM 9.55AM 10.10AM 10.25AM 10.50AM 11.30AM 12.50PM 1.20PM 2.10PM 2.40PM 3.00PM 3.20PM 3.35PM 3.50PM 4.10PM 4.30PM 4.50PM 5.05PM 5.20PM 5.35PM 5.50PM 6.00PM 6.15PM 6.25PM 6.40PM 6.55PM 7.10PM 7.30PM 7.50PM 8.15PM 8.45PM 9.20PM 9.50PM
BANER DEPO,KATRAJ, 5.05AM 5.25AM 5.40AM 5.55AM 6.20AM 2.25PM 2.35PM 2.50PM 3.20PM 5.15PM
KATRAJ,BANER DEPO, 11.00AM 11.50AM 3.30PM 8.00PM 8.30PM 9.00PM 9.30PM 9.45PM 10.40PM
 BANER DEPO,HINJEWADI PHASE 3,6.30AM 8.40AM 9.50AM 2.00PM 2.20PM 2.35PM 2.50PM 3.15PM 3.30PM 5.15PM 5.35PM
 HINJEWADI PHASE 3,BANER DEPO, 11.00AM 11.20AM 11.40AM 11.55AM 12.20PM 12.45PM 1.20PM 1.45PM 3.30PM 8.30PM 9.00PM 9.05PM 9.30PM
AKURDI RAILWAY STATION,KATRAJ, 6.00AM 6.45AM 7.30AM 8.15AM 9.00AM 9.45AM 10.30AM 11.15AM 12.00PM 12.45PM 3.50PM 4.35PM 5.20PM 6.25PM 6.50PM 7.35PM 8.20PM 9.05PM
 KATRAJ,AKURDI RAILWAY STATION, 7.30AM 8.05AM 9.00AM 9.50AM 10.35AM 11.25AM 12.05PM 12.50PM 1.40PM 2.25PM 5.25PM 6.05PM 6.50PM 9.20PM 10.00PM 10.45PM
 AKURDI RAILWAY STATION,RADHA CHOWK, 1.05PM 1.45PM 2.10PM 3.20PM 4.00PM
 RADHA CHOWK,AKURDI RAILWAY STATION,7.35AM 8.20AM 3.10PM 3.55PM 4.40PM 5.40PM 6.10PM
 KATRAJ,RADHA CHOWK, 8.00PM 8.30PM
 BALEWADI STADIUM MAHALUNGE,KATRAJ, 7.00AM 9.00AM 9.30AM 3.50PM 5.30PM 6.30PM
 KATRAJ,MAHALUNGE BALEWADI STADIUM,8.00AM 1.20PM 1.50PM 4.55PM 6.30PM 7.35PM
 KATRAJ,HINJEWADI PHASE 3,10.30AM 11.00AM
 HINJEWADI PHASE 3,KATRAJ, 11.55AM 12.25PM
 SWARGATE,SANASWADI, 5.45AM 7.45AM 9.45AM 12.15PM 2.30PM 4.35PM 7.30PM
 SANASWADI,SWARGATE, 6.45AM 8.45AM 11.15AM 1.15PM 3.30PM 6.10PM 8.30PM
 SWARGATE,SINHGAD PAYTHA, 5.00AM 5.45AM 6.30AM 7.10AM
 SHANIWARWADA,SINHGAD PAYTHA, 7.35AM 8.25AM 9.10AM 9.55AM 11.05AM 11.55AM 12.40PM 1.30PM 2.45PM 3.35PM 4.25PM 5.15PM 6.05PM 6.55PM 7.50PM 8.55PM
 SINHGAD PAYTHA,SHANIVARWADA, 6.10AM 6.55AM 7.40AM 8.25AM 9.05AM 9.55AM 10.40AM 11.25AM 12.40PM 1.25PM 2.10PM 3.00PM 4.25PM 5.15PM 6.05PM 6.55PM 7.45PM 8.35PM 9.30PM 10.30PM
SHIVAJINAGAR,DHAYARESHWAR MANDIR,5.00AM 6.35AM 8.20AM 10.35AM 2.25PM 4.40PM 7.05PM
 DHAYARESHWAR MANDIR,SHIVAJINAGAR, 5.45AM 7.25AM 9.20AM 12.20PM 3.30PM 5.50PM 8.50PM
 SHIVAJINAGAR,DSK VISHWA, 5.30AM 6.10AM 7.00AM 7.30AM 7.55AM 9.05AM 9.30AM 9.55AM 11.20AM 12.05PM 12.40PM 3.05PM 3.40PM 4.10PM 5.20PM 5.55PM 6.35PM 7.50PM 8.55PM
 DSK VISHWA,SHIVAJINAGAR, 6.15AM 7.00AM 8.00AM 8.25AM 8.55AM 10.10AM 11.00AM 11.30AM 12.55PM 1.20PM 1.45PM 4.10PM 4.45PM 5.20PM 6.30PM 7.10PM 7.45PM 9.35PM 10.30PM
 SWARGATE,KHANAPUR, 5.10AM 5.25AM 5.50AM 6.55AM 7.15AM 7.35AM 7.45AM 8.40AM 9.05AM 9.55AM 10.20AM 10.50AM 11.15AM 11.50AM 12.20PM 12.50PM 1.20PM 1.50PM 3.00PM 3.10PM 3.35PM 4.00PM 4.30PM 5.05PM 6.10PM 6.30PM 7.20PM 7.50PM 8.50PM 9.25PM 10.10PM
 KHANAPUR,SWARGATE,6.15AM 6.45AM 7.05AM 8.00AM 8.30AM 9.00AM 9.20AM 10.05AM 10.30AM 11.10AM 11.50AM 12.20PM 12.35PM 1.20PM 1.40PM 2.10PM 2.40PM 3.10PM 4.15PM 4.35PM 5.00PM 5.25PM 5.50PM 6.30PM 7.35PM 7.55PM 8.45PM 9.10PM 10.15PM 10.45PM 11.30PM
 SWARGATE,OSADE PHATA, 6.30AM 9.30AM 2.15PM 5.35PM 8.10PM 10.35PM
 OSADE PHATA,SWARGATE, 6.15AM 7.55AM 11.00AM 3.40PM 7.35PM 9.30PM
 SWARGATE,RANJANE KHAMGAON, 5.40AM 8.15AM 2.30PM 6.55PM
 RANJNE KHAMGAON,SWARGATE, 7.20AM 10.00AM 4.10PM 8.45PM
 SWARGATE,VARASGAON , 6.00AM 8.00AM 10.05AM 1.05PM 2.40PM 6.00PM 7.40PM
VARASGAON,SWARGATE, 6.00AM 8.00AM 10.45AM 12.30PM 3.05PM 5.30PM 8.00PM
 SUNCITY,MANDAI, 6.05AM 6.45AM 7.25AM 7.50AM 8.25AM 9.05AM 9.40AM 10.25AM 10.45AM 11.20AM 12.00PM 12.50PM 1.25PM 2.00PM 2.30PM 2.50PM 3.30PM 4.00PM 4.30PM 5.10PM 5.40PM 6.10PM 6.50PM 7.20PM 8.20PM 9.00PM 9.40PM
MANDAI,SUNCITY, 6.50AM 7.35AM 8.15AM 8.50AM 9.25AM 9.55AM 10.30AM 11.15AM 12.05PM 12.40PM 1.15PM 1.40PM 2.00PM 2.40PM 3.10PM 3.40PM 4.20PM 4.50PM 5.20PM 6.00PM 6.30PM 7.00PM 7.40PM 8.20PM 9.00PM 9.45PM 10.30PM
 SWARGATE,SUNCITY, 5.40AM 6.20AM 7.00AM
 SUNCITY,SWARGATE, 9.45PM 10.35PM 11.15PM
 STATION,VADAGAON BK, 5.20AM 5.45AM 6.25AM 7.10AM 7.35AM 8.15AM 9.20AM 9.50AM 10.30AM 12.10PM 12.40PM 1.20PM 2.10PM 2.35PM 3.05PM 3.50PM 5.10PM 5.55PM 6.40PM 7.40PM 8.25PM 9.15PM
 VADAGAON BK,STATION, 6.10AM 6.35AM 7.15AM 8.15AM 8.40AM 9.20AM 10.30AM 11.00AM 11.35AM 1.10PM 1.40PM 2.20PM 3.25PM 3.45PM 4.10PM 5.00PM 6.20PM 7.10PM 7.55PM 8.50PM 9.35PM 10.20PM
 STATION,VENUTAI COLLEGE, 8.50AM 11.20AM 4.45PM
 VENUTAI COLLEGE,STATION, 10.00AM 12.40PM 6.00PM
 SHANIPAR,GOKHALE NAGAR, 5.50AM 6.30PM 7.10AM 7.50AM 8.30AM 9.10AM 9.50AM 10.30AM 11.10AM 11.50AM 1.00PM 1.40PM 2.40PM 3.20PM 4.00PM 4.40PM 5.20PM 6.00PM 6.40PM 7.20PM 8.00PM 8.40PM 9.20PM 10.30PM
 GOKHALE NAGAR,SHANIPAR, 6.30AM 7.10AM 7.50AM 8.30AM 9.10AM 9.50AM 10.30AM 11.10AM 11.50AM 1.00PM 1.40PM 2.20PM 3.20PM 4.00PM 4.40PM 5.20PM 6.00PM 6.40PM 7.20PM 8.00PM 8.40PM 9.20PM 10.30PM 11.10PM
 SHANIPAR,NILJYOTI,5.30AM 6.10AM 6.50AM 7.30AM 8.10AM 8.50AM 9.30AM 10.10AM 10.50AM 11.30AM 12.10PM 1.20PM 2.20PM 3.00PM 3.40PM 4.20PM 5.00PM 5.40PM 6.20PM 7.00PM 7.40PM 8.20PM 9.00PM 9.40PM
 NILJYOTI,SHANIPAR, 6.10AM 6.50AM 7.30AM 8.10AM 8.50AM 9.30AM 10.10AM 10.50AM 11.30AM 12.40PM 1.20PM 2.00PM 3.00PM 3.40PM 4.20PM 5.00PM 5.40PM 6.20PM 7.00PM 7.40PM 8.20PM 9.00PM 10.10PM 10.50PM
KATRAJ,SAROLA , 5.30AM 6.10AM 6.30AM 7.10AM 7.30AM 8.10AM 8.50AM 9.20AM 9.50AM 10.40AM 11.30AM 12.10PM 12.40PM 1.15PM 1.50PM 3.05PM 3.50PM 4.25PM 4.55PM 5.30PM 6.30PM 7.25PM 8.00PM 8.45PM
SAROLA,KATRAJ, 6.00AM 6.45AM 7.30AM 8.00AM 8.25AM 8.50AM 9.30AM 10.15AM 10.50AM 11.15AM 12.05PM 12.50PM 1.35PM 2.10PM 2.35PM 3.25PM 4.25PM 5.15PM 5.55PM 6.30PM 7.05PM 7.55PM 8.45PM 9.30PM
 BHEKRAI NAGAR,NDA GATE, 4.50AM 5.10AM 5.30AM 5.50AM 6.10AM 6.30AM 6.50AM 7.00AM 7.10AM 7.20AM 7.30AM 7.40AM 7.50AM 8.00AM 8.10AM 8.30AM 8.40AM 8.50AM 9.00AM 9.10AM 9.30AM 9.50AM 10.10AM 10.30AM 10.50AM 11.00AM 11.10AM 11.20AM 11.30AM 11.40AM 11.50AM 12.00PM 12.10PM 12.30PM 12.45PM 1.05PM 1.25PM 1.45PM 2.05PM 2.25PM 2.45PM 3.05PM 3.25PM 3.35PM 3.45PM 3.55PM 4.05PM 4.15PM 4.25PM 4.35PM 4.45PM 5.05PM 5.25PM 5.35PM 5.45PM 5.55PM 6.05PM 6.25PM 6.45PM 7.05PM 7.25PM 7.45PM 8.05PM 8.25PM 8.45PM 9.30PM
 NDA GATE,BHEKRAI NAGAR, 6.35AM 6.55AM 7.15AM 7.35AM 7.55AM 8.15AM 8.35AM 8.45AM 8.55AM 9.05AM 9.15AM 9.25AM 9.35AM 9.45AM 9.55AM 10.15AM 10.25AM 10.35AM 10.45AM 10.55AM 11.15AM 11.35AM 11.55AM 12.15PM 12.35PM 12.45PM 12.55PM 1.05PM 1.15PM 1.25PM 1.35PM 1.45PM 1.55PM 2.15PM 2.30PM 2.50PM 3.10PM 3.30PM 3.50PM 4.10PM 4.30PM 4.50PM 5.10PM 5.20PM 5.30PM 5.40PM 5.50PM 6.00PM 6.10PM 6.20PM 6.30PM 6.50PM 7.10PM 7.20PM 7.30PM 7.40PM 7.50PM 8.10PM 8.30PM 8.50PM 9.10PM 9.30PM 9.50PM 10.10PM 10.30PM 11.15PM
HADAPASAR,WARAJE MALWADI (MAHILA), 9.15AM 12.35PM 4.05PM
WARAJE MALWADI,HADAPASAR (MAHILA), 10.45AM 2.05PM 5.45PM
 HADAPSAR,YAVAT,6.10AM 8.00AM 8.55AM 11.15AM 5.45PM 6.05PM
 YAVAT,HADAPSAR ,7.30AM 9.25AM 10.20AM 12.45PM 6.55PM 7.30PM
 HADAPSAR,VARVAND,5.15AM 6.00AM 6.20AM 6.50AM 7.15AM 7.35AM 7.50AM 8.30AM 9.10AM 10.30AM 12.00PM 12.35PM 1.05PM 1.40PM 2.25PM 3.10PM 3.40PM 4.00PM 4.30PM 4.45PM 5.10PM 5.35PM 6.25PM 7.30PM 9.00PM 9.40PM
 VARVAND,HADAPSAR, 5.50AM 6.30AM 7.10AM 7.50AM 8.30AM 8.50AM 9.10AM 9.30AM 9.55AM 10.25AM 11.05AM 12.25PM 1.45PM 2.20PM 3.00PM 3.40PM 4.20PM 5.00PM 5.40PM 6.00PM 6.20PM 6.40PM 7.00PM 7.30PM 8.15PM 9.30PM
 HADAPSAR,URULI KANCHAN,9.35AM 10.55AM 11.30AM 12.25PM 5.30PM 7.00PM 8.10PM
 URULI KANCHAN,HADAPSAR,10.30AM 11.50AM 12.25PM 1.25PM 6.25PM 7.55PM 9.05PM
 MARKETYARD,AGALAMBE, 8.45AM 12.00PM 2.45PM 6.25PM
 AGALAMBE,MARKETYARD, 6.35AM 10.30AM 1.10PM 4.15PM
 HADAPSAR,URULI KANCHAN,5.05AM 5.40AM 6.05AM 6.40AM 7.00AM 7.10AM 7.25AM 7.45AM 7.55AM 8.10AM 8.20AM 8.35AM 8.45PM 9.00AM 9.15AM 9.25AM 9.45AM 10.00AM 10.20AM 10.40AM 11.05AM 11.20AM 11.50AM 12.15PM 12.50PM 1.20PM 1.55PM 2.10PM 2.40PM 2.55PM 3.25PM 3.50PM 4.20PM 4.40PM 4.50PM 5.00PM 5.20PM 5.40PM 5.55PM 6.15PM 6.35PM 6.45PM 7.10PM 7.20PM 7.40PM 7.55PM 8.25PM 8.40PM 9.20PM 9.55PM 10.15PM 10.30PM
URUKI KANCHAN,HADAPSAR, 6.00AM 6.30AM 7.00AM 7.30AM 7.50AM 8.05AM 8.20AM 8.35AM 8.50AM 9.00AM 9.15AM 9.25AM 9.35AM 9.55AM 10.05AM 10.20AM 10.40AM 10.50AM 11.15AM 11.35AM 12.00PM 12.10PM 12.40PM 1.10PM 1.45PM 2.05PM 2.45PM 3.00PM 3.30PM 3.55PM 4.20PM 4.50PM 5.15PM 5.35PM 5.50PM 6.00PM 6.15PM 6.35PM 6.50PM 7.05PM 7.25PM 7.35PM 8.05PM 8.20PM 8.35PM 8.50PM 9.20PM 9.35PM 10.10PM 10.45PM 11.05PM 11.25PM
 HADAPSAR,URULI STATION, 5.30AM 8.50AM 11.40AM 4.10PM
 URULI STATION,HADAPSAR, 6.50AM 10.10AM 12.50PM 5.30PM
 HADAPSAR,MHATOBACHI ALANDI, 6.30AM 8.25AM 6.00PM
MHATOBACHI ALANDI,HADAPSAR,7.30AM 9.25AM 7.00PM
 HADAPSAR,PRAYAGDHAM, 5.25AM 8.10AM 4.10PM 5.40PM
 PRAYAGDHAM,HADAPSAR, 6.45AM 10.05AM 5.20PM 6.55PM
 UPPER DEPO,SUTARDARA, 7.40AM 9.40AM 3.00PM 5.15PM
 SUTARDARA,UPPER DEPO, 8.40AM 10.45AM 4.05PM 6.25PM
 MARKETYARD,GHOTAWADE, 5.50AM 10.20AM 1.50PM 6.00PM 8.15PM
 GHOTAWADE,MARKETYARD, 6.30AM 7.50AM 12.00PM 3.30PM 7.45PM
 MARKETYARD,MUGAVADE, 8.00AM 3.30PM
 MUGAVADE,MARKETYARD,10.10AM 5.30PM
 MARKETYARD ,MULSHI GAON, 6.30AM 8.20AM 11.10AM 2.30PM 4.00PM 7.20PM 8.50PM
 MULSHI GAON,MARKETYARD, 6.20AM 8.30AM 10.50AM 1.30PM 4.35PM 6.15PM 9.30PM
 KOTHRUD DEPO,SUKHASAGAR VARTUL, 5.30AM 5.55AM 6.10AM 6.30AM 6.50AM 7.10AM 7.30AM 7.50AM 8.05AM 8.20AM 8.40AM 8.55AM 9.10AM 9.25AM 9.40AM 10.00AM 10.15AM 10.30AM 10.50AM 11.10AM 11.30AM 12.00PM 12.25PM 1.00PM 1.15PM 1.30PM 1.50PM 2.20PM 2.40PM 3.00PM 3.15PM 3.30PM 3.45PM 4.10PM 4.25PM 4.40PM 5.00PM 5.20PM 5.35PM 5.50PM 6.05PM 6.25PM 6.45PM 7.05PM 7.50PM 8.25PM 8.40PM 9.00PM 9.30PM 9.50PM
 SUKHSAGAR,KONDHWAGATE, 6.00AM 6.40AM 7.10AM 7.40AM 8.05AM 8.30AM 9.10AM 9.55AM 10.35AM 11.30AM 12.15PM 12.55PM 2.20PM 3.05PM 3.55PM 5.00PM 6.00PM 7.10PM 8.00PM
 KONDHWAGATE,SUKHSAGAR, 7.10AM 7.45AM 8.25AM 9.00AM 9.30AM 10.00AM 10.40AM 11.30AM 12.10PM 1.00PM 1.30PM 2.10PM 3.50PM 4.40PM 5.35PM 6.35PM 7.35PM 8.50PM 9.45PM
 HADAPSAR,KHAMGAON GADAMODI, 5.15AM 1.15PM
 KHAMGAON GADAMODI,HADAPSAR,10.45AM 8.35PM
 URULI,KHAMGAON GADAMODI, 8.05AM 9.50AM 3.35PM 5.25PM 7.45PM
 KHAMGAON GADAMODI,URULI, 6.45AM 8.55AM 2.45PM 4.35PM 6.15PM
 DANGE CHOWK,GHOTAWADE ,5.45AM 7.55AM 10.15AM 2.40PM 5.00PM 7.30PM
 GHOTAWADE,DANGE CHOWK, 6.45AM 9.05AM 11.55AM 3.50PM 6.15PM 9.10PM
 RADHA CHOWK,DANGE CHOWK, 5.25AM 2.20PM
 DANGE CHOWK,RADHA CHOWK, 1.05PM
 DECCAN GYMKHANA,VIDYANAGAR (TINGARE NAGAR), 7.15AM 9.45AM 3.00PM 5.30PM
 VIDYANAGAR (TINGARE NAGAR),DECCAN GYMKHANA, 8.30AM 11.00AM 4.15PM 6.45PM
 GALINDE PATH,MANAPA BHAVAN, 8.00AM 9.30AM 11.00AM 4.00PM 5.30PM 7.00PM
MANAPA BHAVAN,GALINDE PATH,8.45AM 10.15AM 11.45AM 4.45PM 6.15PM 7.45PM
GALINDE PATH,HINJEWADI,6.50AM 8.30AM 10.40AM 4.15PM 5.25PM 7.35PM
 HINJEWADI,GALINDE PATH, 6.50AM 8.30AM 10.10AM 3.45PM 5.55PM 7.00PM
 MHALUNGE PHATA,GALINDE PATH, 5.50AM 3.15PM
 GALINDE PATH,MHALUNGE PHATA, 12.20PM 9.15PM
 HINJEWADI,MHALUNGE PHATA,12.20PM 9.35PM
 MHALUNGE PHATA,HINJEWADI ,2.45PM
 MARKETYARD,KONDHWAGATE, 8.15AM 11.20AM 4.20PM
KONDHWAGATE,MARKETYARD, 9.40AM 1.00PM 6.00PM
 MANAPA,ADITYA GARDEN CITY, 7.25AM 8.10AM 9.50AM 11.40AM 4.00PM 6.00PM
 KUMBARE PARK,STATION, 8.15AM 10.20AM 3.20PM 5.35PM
 STATION,KUMBARE PARK, 9.15PM 11.30PM 4.20PM 6.55PM
 KONDHAWAGATE,MANAPA VARTUL, 6.20AM 6.40AM 6.50AM 7.10AM 7.20AM 7.30AM 7.40AM 7.50AM 8.00AM 8.10AM 8.20AM 8.30AM 8.35AM 8.40AM 8.45AM 8.50AM 8.55AM 9.00AM 9.10AM 9.20AM 9.30AM 9.40AM 9.50AM 10.00AM 10.10AM 10.20AM 10.30AM 10.40PM 10.50PM 11.00AM 11.10AM 11.20AM 11.30AM 11.40AM 11.50AM 12.00PM 12.10PM 12.20PM 12.30PM 12.40PM 12.50PM 1.00PM 1.10PM 1.20PM 1.30PM 1.40PM 1.50PM 2.00PM 2.05PM 2.10PM 2.15PM 2.20PM 2.30PM 2.40PM 2.50PM 3.00PM 3.10PM 3.20PM 3.30PM 3.30PM 3.40PM 3.50PM 4.00PM 4.10PM 4.20PM 4.30PM 4.35PM 4.40PM 4.50PM 5.00PM 5.10PM 5.20PM 5.30PM 5.40PM 5.50PM 6.00PM 6.10PM 6.20PM 6.30PM 6.40PM 6.50PM 7.05PM 7.10PM 7.20PM 7.50PM 8.00PM 8.05PM 8.20PM 8.35PM 8.50PM 9.05PM 9.20PM 9.35PM 9.50PM 10.00PM 10.15PM 10.30PM 10.45PM 11.00PM 11.15PM 11.30PM 11.45PM 12.00PM 12.10AM 12.20AM 12.30AM
 NDA GATE,ALANDI DARSHAN, 5.30AM 10.05AM 2.55PM 7.45PM
 ALANDI DARSHAN,NDA GATE, 7.20AM 12.20PM 4.55PM 10.00PM
 DECCAN,KONDURGAON, 6.50AM 8.30AM 11.10AM 1.30PM 4.20PM 5.30PM 9.05PM
 KONDURGAON,DECCAN, 6.00AM 8.35AM 10.25AM 1.10PM 3.20PM 6.25PM 8.15PM
 SANGRUN,DECCAN, 5.20AM 8.05AM 11.30AM 2.35PM 6.10PM
 DECCAN,SANGRUN, 6.35AM 9.35AM 1.00PM 4.35PM 7.50PM
MANAPA,AHIREGAON/MOHAKARWADI, 6.15AM 9.00AM 2.00PM 5.05PM
 AHIREGAON/MOHAKARWADI,MANAPA, 7.05AM 10.30AM 3.30PM 6.50PM
 STATION,PAUD ST STAND, 5.50AM 7.10AM 8.30AM 9.50AM 11.15AM 2.00PM 3.20PM 4.40PM 6.00PM 7.20PM 8.45PM
 PAUD ST STAND,STATION,6.30AM 7.50AM 9.15AM 11.05AM 12.20PM 1.25PM 4.00PM 5.20PM 6.40PM 8.30PM 9.50PM
 SUTARWADI,DECCAN, 5.50AM 6.40AM 7.05AM 7.30AM 8.25AM 8.45AM 9.30AM 10.20AM 10.40AM 11.255AM 12.15PM 2.35PM 3.25PM 4.00PM 4.30PM 5.10PM 5.55PM 6.35PM 7.20PM 8.30PM 9.20PM
 DECCAN,SUTARWADI,6.45AM 7.30AM 7.55AM 8.20AM 9.15AM 9.40AM 10.35AM 11.20AM 1.20PM 2.15PM 3.00PM 3.25PM 4.20PM 5.00PM 5.20PM 6.20PM 6.50PM 7.40PM 8.25PM 10.25PM 11.20PM
 CHANDE,DECCAN, 6.00AM 8.45AM 11.05AM 3.00AM 5.20PM 7.40PM
 DECCAN,CHANDE, 7.20AM 9.55AM 1.10PM 4.10PM 6.30PM 9.40PM
 SINBOYSIS HOSPITAL,DECCAN, 6.10AM 7.10AM 7.30AM 8.15AM 9.15AM 9.40AM 10.35AM 11.35AM 1.00PM 2.30PM 4.00PM 4.50PM 5.50PM 6.20PM 7.10PM 8.40PM
 DECCAN,SINBOYSIS HOSPITAL, 7.10AM 8.10AM 8.30AM 9.25AM 10.25AM 11.50AM 12.40AM 2.05PM 3.40PM 4.40PM 5.10PM 6.00PM 7.00PM 7.30PM 9.15PM 10.40PM
 NILJYOTI SOCIETY,SWARGATE, 6.30AM 8.10AM 10.10AM 12.05PM 3.00PM 4.55PM 6.40PM 9.10PM
 SWARGATE,NILJYOTI SOCIETY, 7.20AM 9.10AM 11.05AM 1.25PM 3.55PM 5.50PM 7.40PM
 KATRAJ,GOKHALE NAGAR, 6.00AM 6.30AM 8.15AM 11.15AM 11.45AM 2.15PM 2.45PM 5.45PM 6.20PM 8.15PM
GOKHALE NAGAR,KATRAJ, 7.05AM 7.30AM 9.30AM 10.00AM 12.30PM 12.55PM 4.00PM 7.00PM 7.35PM 9.30PM
 MANAPA,WARAJEGAON ESHAN NAGARI, 9.35AM 11.05AM 4.20PM 5.55PM 7.35PM
 ESHAN NAGARI VARAJEGAON,MANAPA ,8.50AM 10.20AM 11.50AM 5.05PM 6.45PM
 KOTHRUD DEPO,VENUTAI COLLEGE, 7.00AM 9.10AM 2.45PM 5.15PM
 VENUTAI COLLEGE,KOTHRUD DEPO, 8.00AM 10.20AM 4.00PM 6.30PM
 KOTHRUD DEPO,STATION, 5.35AM 5.55AM 6.15AM 6.35AM 6.55AM 7.15AM 7.35AM 7.55AM 8.10AM 8.30AM 8.50AM 9.10AM 9.25AM 9.45AM 10.05AM 10.25AM 10.45AM 11.05AM 11.30AM 12.00PM 12.30PM 12.50PM 1.10PM 1.30PM 1.50PM 2.10PM 2.30PM 2.50PM 3.15PM 3.35PM 3.55PM 4.15PM 4.40PM 4.55PM 5.15PM 5.40PM 6.05PM 6.30PM 6.50PM 7.15PM 7.35PM 8.00PM 8.30PM 8.55PM 9.20PM 9.45PM 10.10PM
 STATION,KOTHRUD DEPO, 6.30AM 6.50AM 7.10AM 7.30AM 7.50AM 8.10AM 8.35AM 8.55AM 9.15AM 9.35AM 9.55AM 10.15AM 10.30AM 10.55AM 11.15AM 11.35AM 11.55AM 12.15PM 12.40PM 1.10PM 1.30PM 1.50PM 2.10PM 2.30PM 2.50PM 3.15PM 3.40PM 4.00PM 4.25PM 4.50PM 5.10PM 5.30PM 5.45PM 6.05PM 6.25PM 6.50PM 7.10PM 7.35PM 8.00PM 8.25PM 8.45PM 9.05PM 9.35PM 10.05PM 10.25PM 10.50PM 11.15PM
 KOTHRUD DEPO,STATION, 7.05AM 9.00AM 11.45AM 3.05PM 5.25PM
 STATION,KOTHRUD DEPO, 8.00AM 10.05AM 12.55PM 4.15PM 6.35PM
 DECCAN GYMKHANA,PVPIT COLLEGE BAVADHAN, 7.20AM 9.00AM 10.40AM 3.35PM 5.10PM
 PVPIT COLLEGE BAVADHAN,DECCAN GYMKHANA, 8.10AM 9.50AM 11.30AM 4.20PM 6.00PM
 KOTHRUD DEPO,DECCAN GYMKHANA,6.50AM
 DECCAN GYMKHANA,KOTHRUD DEPO, 6.50PM
 WARJEMALWADI,SAHAKAR NAGAR, 8.35AM 10.50AM 3.10PM 5.35PM
